referrer,expgender,exprace,compensation,age,sunkgroup,sunkDV,gainlossgroup,gainlossDV,exprace_baburao
8,,,,19,1,9,1,1,
8,,,,19,2,7,2,1,
8,,,,18,2,5,2,1,
8,,,,19,2,9,2,1,
8,,,,18,1,9,1,1,
8,,,,18,1,4,2,2,
8,,,,19,2,9,1,1,
8,,,,18,1,8,2,1,
8,,,,18,1,9,2,1,
8,,,,19,2,9,2,2,
8,,,,19,1,9,2,2,
8,,,,32,2,9,1,1,
8,,,,18,2,9,2,2,
8,,,,19,2,7,2,1,
8,,,,18,1,9,2,1,
8,,,,18,2,8,2,2,
8,,,,18,2,9,1,2,
8,,,,20,2,8,2,1,
8,,,,18,1,7,1,2,
8,,,,18,2,9,1,1,
8,,,,19,2,8,1,2,
8,,,,18,1,7,2,1,
8,,,,19,1,9,1,1,
8,,,,18,2,9,1,2,
8,,,,20,1,6,1,2,
8,,,,18,1,8,2,1,
8,,,,18,1,9,1,2,
8,,,,21,1,9,2,2,
8,,,,18,1,6,1,1,
8,,,,22,2,9,1,2,
8,,,,18,1,8,1,,
8,,,,17,2,9,2,1,
8,,,,21,1,9,2,2,
8,,,,19,2,9,2,2,
8,,,,19,2,9,2,1,
8,,,,18,2,4,1,2,
8,,,,18,1,9,1,2,
8,,,,20,2,9,1,2,
8,,,,21,2,9,2,1,
8,,,,18,1,9,1,2,
8,,,,18,1,9,2,1,
8,,,,19,1,8,2,1,
8,,,,18,1,9,1,2,
8,,,,19,2,9,1,2,
8,,,,19,1,1,1,2,
8,,,,18,1,9,1,1,
8,,,,19,2,9,1,2,
8,,,,18,1,9,1,2,
8,,,,18,2,7,2,2,
8,,,,18,1,9,1,2,
8,,,,19,1,8,1,1,
8,,,,20,1,7,1,2,
8,,,,19,2,9,2,2,
8,,,,18,2,9,1,1,
8,,,,19,2,9,1,2,
8,,,,18,1,6,1,1,
8,,,,21,1,7,1,2,
8,,,,20,2,9,1,2,
8,,,,18,2,9,2,1,
8,,,,18,2,9,2,2,
8,,,,18,1,9,1,2,
8,,,,18,1,9,1,2,
8,,,,18,2,9,1,2,
8,,,,19,1,8,2,1,
8,,,,20,1,8,1,2,
8,,,,19,1,9,1,1,
8,,,,18,2,9,1,1,
8,,,,20,2,9,1,2,
8,,,,21,1,7,1,2,
8,,,,18,2,9,1,2,
8,,,,20,2,7,1,2,
8,,,,18,1,7,1,2,
8,,,,20,2,9,2,1,
8,,,,20,2,9,2,2,
8,,,,18,1,9,1,1,
8,,,,18,1,9,1,2,
8,,,,21,2,9,2,1,
8,,,,19,2,9,2,1,
8,,,,18,1,9,2,2,
8,,,,18,1,7,2,1,
8,,,,20,2,9,2,2,
8,,,,19,2,9,2,1,
8,,,,18,1,7,2,1,
8,,,,18,2,9,1,2,
8,,,,18,1,9,1,2,
8,,,,18,1,6,1,1,
8,,,,18,1,9,1,1,
8,,,,21,2,9,2,1,
8,,,,19,1,1,1,2,
8,,,,18,1,9,2,2,
8,,,,21,1,3,2,1,
8,,,,19,2,9,2,1,
8,,,,19,1,9,1,1,
8,,,,19,1,8,1,2,
8,,,,18,1,8,2,1,
8,,,,19,1,4,2,1,
8,,,,19,2,9,2,1,
8,,,,18,1,9,1,2,
8,,,,18,1,1,2,1,
8,,,,18,2,8,2,2,
8,,,,19,1,9,2,1,
8,,,,21,1,9,1,2,
8,,,,18,2,8,2,1,
8,,,,18,2,7,1,1,
8,,,,18,2,9,1,2,
8,,,,18,1,9,1,2,
8,,,,19,2,8,2,2,
8,,,,18,2,9,2,1,
8,,,,19,2,8,1,2,
8,,,,19,2,8,2,1,
8,,,,19,1,7,2,1,
8,,,,19,1,9,1,1,
8,,,,18,1,4,2,1,
8,,,,20,2,9,1,2,
8,,,,20,1,6,2,2,
8,,,,20,1,9,2,2,
8,,,,20,2,9,1,2,
8,,,,19,1,5,2,1,
8,,,,20,2,9,2,1,
9,,,,21,2,9,2,1,
9,,,,23,2,5,1,2,
9,,,,19,1,6,2,1,
9,,,,22,2,7,2,1,
9,,,,20,2,7,2,1,
9,,,,19,2,9,1,2,
9,,,,18,2,6,1,2,
9,,,,20,2,9,1,2,
9,,,,26,2,3,1,1,
9,,,,23,2,9,1,1,
9,,,,30,1,1,2,1,
9,,,,18,2,9,2,1,
9,,,,21,2,9,2,1,
9,,,,20,1,7,1,2,
9,,,,19,2,2,1,2,
9,,,,19,1,6,1,2,
9,,,,20,1,6,2,2,
9,,,,19,1,3,2,2,
9,,,,20,1,6,2,2,
9,,,,25,2,9,2,2,
9,,,,21,1,8,1,1,
9,,,,17,1,1,1,2,
9,,,,23,2,7,1,1,
9,,,,19,1,9,1,2,
9,,,,20,1,1,2,1,
9,,,,19,2,7,2,2,
9,,,,22,1,8,1,2,
9,,,,20,1,9,2,1,
9,,,,20,1,9,1,1,
9,,,,20,1,9,1,2,
9,,,,21,1,9,1,2,
9,,,,19,1,6,1,2,
9,,,,17,2,7,2,1,
9,,,,19,1,7,1,1,
9,,,,22,2,9,2,2,
9,,,,20,2,9,2,2,
9,,,,21,1,9,1,2,
9,,,,20,1,7,1,2,
9,,,,19,1,8,1,2,
9,,,,19,1,3,2,2,
9,,,,19,1,7,2,2,
9,,,,20,1,3,2,2,
9,,,,19,1,4,1,2,
9,,,,19,1,6,2,2,
9,,,,19,1,6,1,2,
9,,,,19,1,9,2,1,
9,,,,18,1,2,1,2,
9,,,,20,1,9,2,1,
9,,,,19,1,1,2,2,
9,,,,24,2,9,1,2,
9,,,,20,2,9,2,2,
9,,,,20,1,9,1,2,
9,,,,18,2,8,1,2,
9,,,,23,1,6,2,1,
9,,,,20,1,9,2,2,
9,,,,19,2,9,1,1,
9,,,,19,1,6,2,2,
9,,,,20,2,7,1,2,
9,,,,19,1,3,1,1,
9,,,,19,1,9,1,2,
9,,,,19,1,6,1,2,
9,,,,20,1,9,2,1,
9,,,,19,2,8,1,2,
9,,,,20,2,9,1,2,
9,,,,22,1,6,2,1,
9,,,,18,2,9,2,1,
9,,,,23,2,7,2,1,
9,,,,19,2,8,1,2,
9,,,,18,1,9,1,2,
9,,,,19,2,6,2,1,
9,,,,19,1,3,2,1,
9,,,,20,2,6,1,1,
9,,,,18,1,9,1,1,
9,,,,20,1,8,2,1,
9,,,,21,1,9,1,1,
9,,,,19,1,9,1,2,
9,,,,21,2,9,2,1,
9,,,,19,2,7,1,1,
9,,,,20,2,9,2,1,
9,,,,20,2,9,2,2,
9,,,,21,2,5,1,2,
9,,,,22,1,4,1,2,
9,,,,23,2,5,1,2,
9,,,,19,2,6,1,2,
9,,,,24,1,6,1,2,
9,,,,20,1,9,2,2,
9,,,,20,2,7,1,1,
9,,,,19,1,1,2,1,
9,,,,21,2,9,1,2,
9,,,,20,2,3,1,1,
9,,,,20,1,9,2,1,
9,,,,23,2,9,1,2,
9,,,,18,1,9,2,1,
9,,,,20,2,9,1,2,
9,,,,19,1,9,2,2,
9,,,,20,2,9,2,2,
9,,,,20,2,8,2,1,
9,,,,20,2,9,2,1,
9,,,,25,2,7,2,2,
9,,,,20,2,9,1,1,
9,,,,19,1,9,2,2,
9,,,,21,1,9,2,1,
9,,,,20,2,9,1,2,
9,,,,19,1,5,2,2,
9,,,,21,2,9,1,1,
9,,,,20,2,9,1,2,
9,,,,20,1,1,1,2,
9,,,,22,1,7,2,2,
9,,,,20,1,9,1,1,
9,,,,22,2,9,2,2,
9,,,,20,1,9,2,1,
9,,,,19,1,9,1,2,
9,,,,21,2,9,2,1,
10,1,6,1,19,1,7,2,1,6
10,1,6,1,20,1,1,1,1,6
10,1,6,1,20,1,9,2,2,6
10,1,6,1,20,2,7,2,1,6
10,1,6,1,21,2,7,1,2,6
10,1,6,1,20,2,9,1,2,6
10,1,6,1,20,2,7,2,1,6
10,1,6,1,20,2,9,1,2,6
10,1,6,1,23,1,9,1,2,6
10,1,6,1,19,2,9,2,1,6
10,1,6,1,21,2,9,2,1,6
10,1,6,1,19,2,9,2,1,6
10,1,6,1,19,1,9,2,2,6
10,1,6,1,19,1,6,2,1,6
10,1,6,1,19,2,8,2,1,6
10,1,6,1,20,1,9,2,2,6
10,1,6,1,20,2,9,1,2,6
10,1,6,1,20,1,9,1,2,6
10,1,6,1,20,1,9,2,1,6
10,1,6,1,20,1,9,2,2,6
10,1,6,1,21,2,9,2,2,6
10,1,6,1,20,1,8,2,1,6
10,1,6,1,21,2,9,1,2,6
10,1,6,1,19,2,9,1,2,6
10,1,6,1,20,2,9,2,1,6
10,1,6,1,20,2,9,1,2,6
10,1,6,1,21,1,9,1,2,6
10,1,6,1,19,2,9,2,1,6
10,1,6,1,22,2,9,1,2,6
10,1,6,1,20,2,9,1,2,6
10,1,6,1,20,2,6,2,1,6
10,1,6,1,24,1,7,1,2,6
10,1,6,1,20,2,9,1,2,6
10,1,6,1,19,2,9,1,2,6
10,1,6,1,20,1,2,1,2,6
10,1,6,1,20,2,8,2,2,6
10,1,6,1,19,1,9,2,2,6
10,1,6,1,19,1,9,1,1,6
10,1,6,1,21,1,9,2,1,6
10,1,6,1,20,1,9,2,1,6
10,1,6,1,20,2,9,2,1,6
10,1,6,1,20,2,7,1,1,6
10,1,6,1,20,2,9,1,2,6
10,1,6,1,21,1,9,2,2,6
10,1,6,1,19,1,8,2,1,6
10,1,6,1,19,2,9,1,2,6
10,1,6,1,20,1,9,2,1,6
10,1,6,1,20,1,9,2,2,6
10,1,6,1,20,2,9,2,1,6
10,1,6,1,19,1,8,1,2,6
10,1,6,1,20,1,9,1,2,6
10,1,6,1,19,1,6,1,2,6
10,1,6,1,19,2,9,2,1,6
10,1,6,1,20,2,7,1,1,6
10,1,6,1,20,2,8,1,2,6
10,1,6,1,21,1,9,1,2,6
10,1,6,1,20,1,9,1,2,6
10,1,6,1,20,1,9,2,2,6
10,1,6,1,21,1,9,2,1,6
10,1,6,1,19,2,9,2,1,6
10,1,6,1,21,1,9,2,1,6
10,1,6,1,20,2,7,2,1,6
10,1,6,1,20,2,7,1,1,6
10,1,6,1,20,1,9,2,1,6
10,1,6,1,19,1,8,1,1,6
10,1,6,1,20,2,9,1,1,6
10,1,6,1,20,2,9,1,1,6
10,1,6,1,20,1,5,1,2,6
10,1,6,1,20,2,9,1,1,6
10,1,6,1,20,1,9,2,,6
10,1,6,1,20,2,9,2,2,6
10,1,6,1,20,2,8,2,2,6
10,1,6,1,20,1,9,1,2,6
10,1,6,1,19,2,9,1,1,6
10,1,6,1,20,1,9,1,1,6
10,1,6,1,21,2,7,2,1,6
10,1,6,1,20,2,5,2,2,6
10,1,6,1,21,1,1,2,1,6
10,1,6,1,20,2,9,1,1,6
10,1,6,1,20,2,8,1,2,6
10,1,6,1,20,1,7,1,2,6
10,1,6,1,19,2,9,2,1,6
10,1,6,1,19,1,3,2,2,6
10,1,6,1,20,1,6,1,2,6
10,1,6,1,19,1,5,2,1,6
10,1,6,1,19,2,9,2,1,6
10,1,6,1,20,1,6,1,2,6
10,1,6,1,20,1,7,1,2,6
10,1,6,1,20,1,7,1,,6
10,1,6,1,20,1,4,2,1,6
10,1,6,1,19,1,9,2,1,6
10,1,6,1,19,1,9,2,2,6
10,1,6,1,20,2,9,2,1,6
10,1,6,1,20,2,9,1,1,6
10,1,6,1,19,2,5,2,1,6
10,1,6,1,20,2,9,1,2,6
10,1,6,1,20,1,9,1,2,6
10,1,6,1,20,1,8,2,1,6
10,1,6,1,21,2,9,2,1,6
10,1,6,1,20,2,9,2,1,6
10,1,6,1,20,2,9,2,1,6
10,1,6,1,20,1,9,1,1,6
10,1,6,1,19,1,7,2,1,6
10,1,6,1,20,1,7,1,1,6
10,1,6,1,19,2,9,2,2,6
10,1,6,1,19,2,6,2,1,6
10,1,6,1,20,1,9,2,1,6
10,1,6,1,20,2,9,2,2,6
10,1,6,1,20,1,2,2,2,6
10,1,6,1,20,1,8,1,2,6
10,1,6,1,20,1,9,2,2,6
10,1,6,1,20,1,9,2,1,6
11,2,6,,19,2,9,1,2,6
11,2,6,2,18,2,9,1,2,6
11,2,6,2,22,2,9,2,1,6
11,2,6,2,25,2,9,1,2,6
11,2,6,2,34,2,9,2,1,6
11,2,6,2,36,1,9,1,2,6
11,2,6,2,19,1,9,2,1,6
11,2,6,2,29,1,9,2,1,6
11,2,6,2,43,1,9,1,2,6
11,2,6,2,22,1,9,1,2,6
11,2,6,2,19,1,7,2,1,6
11,2,6,2,18,1,6,2,1,6
11,2,6,2,29,2,9,2,1,6
11,2,6,2,24,2,9,1,2,6
11,2,6,2,23,2,8,1,,6
11,2,6,2,20,2,8,2,1,6
11,2,6,2,19,2,6,2,1,6
11,2,6,2,23,2,9,2,1,6
11,2,6,2,42,2,9,2,2,6
11,2,6,2,18,2,9,1,1,6
11,2,6,2,37,2,9,1,2,6
11,2,6,2,26,1,9,1,2,6
11,2,6,2,26,2,1,1,1,6
11,2,6,2,21,2,7,1,2,6
11,2,6,2,28,1,5,1,2,6
11,2,6,2,30,2,9,1,1,6
11,2,6,2,19,1,7,2,2,6
11,2,6,2,22,2,9,1,2,6
11,2,6,2,20,1,9,2,,6
11,2,6,2,19,1,9,1,2,6
11,2,6,2,24,2,8,2,1,6
11,2,6,2,20,1,9,2,2,6
11,2,6,2,28,1,9,1,2,6
11,2,6,2,30,1,6,2,2,6
11,2,6,2,20,2,9,1,2,6
11,2,6,2,25,1,9,2,1,6
11,2,6,2,29,2,9,2,1,6
11,2,6,2,20,1,7,2,1,6
11,2,6,2,21,1,7,2,1,6
11,2,6,2,20,1,9,2,1,6
11,2,6,2,21,1,9,2,2,6
11,2,6,2,19,2,9,1,1,6
11,2,6,2,23,2,9,2,2,6
11,2,6,2,23,2,9,1,2,6
11,2,6,2,26,1,9,2,2,6
11,2,6,2,20,1,3,1,1,6
11,2,6,2,20,1,8,2,1,6
11,2,6,2,20,2,9,2,2,6
11,2,6,2,20,1,9,2,1,6
11,2,6,2,34,1,9,1,2,6
11,2,6,2,19,2,9,1,1,6
11,2,6,2,19,1,9,2,2,6
11,2,6,2,24,2,9,2,2,6
11,2,6,2,20,2,9,2,1,6
11,2,6,2,40,2,9,2,2,6
11,2,6,2,28,1,9,2,1,6
11,2,6,2,20,2,6,1,2,6
11,2,6,2,20,2,9,1,2,6
11,2,6,2,21,2,8,2,1,6
11,2,6,2,25,1,6,2,2,6
11,2,6,2,21,1,9,1,2,6
11,2,6,2,23,1,9,1,2,6
11,2,6,2,21,1,9,1,2,6
11,2,6,2,22,1,9,2,1,6
11,2,6,2,21,1,9,2,1,6
11,2,6,2,24,2,9,2,1,6
11,2,6,2,39,2,9,2,1,6
11,2,6,2,20,2,9,1,2,6
11,2,6,2,19,1,6,1,2,6
11,2,6,2,22,1,7,1,2,6
11,2,6,2,22,1,8,2,1,6
11,2,6,2,28,2,6,2,2,6
11,2,6,2,22,1,9,1,2,6
11,2,6,2,25,1,8,1,2,6
11,2,6,2,22,2,8,2,1,6
11,2,6,2,23,2,9,1,2,6
11,2,6,2,19,1,7,1,2,6
11,2,6,2,23,2,9,1,2,6
11,2,6,2,27,2,1,1,2,6
11,2,6,2,51,1,1,1,1,6
11,2,6,2,21,2,5,2,2,6
11,2,6,2,20,1,7,2,1,6
11,2,6,2,25,2,7,2,1,6
11,2,6,2,21,2,7,2,1,6
11,2,6,2,22,2,9,2,2,6
11,2,6,2,20,1,9,2,1,6
11,2,6,2,19,2,8,1,2,6
11,2,6,2,26,1,7,2,2,6
11,2,6,2,21,1,8,1,2,6
11,2,6,2,44,1,8,1,2,6
11,2,6,2,19,2,7,1,2,6
11,2,6,2,30,2,9,2,1,6
11,2,6,2,22,2,9,2,2,6
11,2,6,2,21,2,9,1,2,6
11,2,6,2,20,1,7,2,2,6
11,2,6,2,19,2,9,2,1,6
11,2,6,2,21,2,9,1,1,6
11,2,6,2,21,1,7,1,2,6
11,2,6,2,18,1,1,1,2,6
11,2,6,2,48,1,7,2,1,6
11,2,6,2,19,1,7,1,1,6
11,2,6,2,20,1,6,2,2,6
11,2,6,2,21,2,7,2,1,6
11,2,6,2,21,2,6,2,1,6
11,2,6,2,19,2,9,1,2,6
11,2,6,2,57,1,1,2,2,6
11,2,6,2,18,1,7,2,1,6
11,2,6,2,22,2,7,1,2,6
11,2,6,2,19,2,9,2,1,6
11,2,6,2,22,1,6,2,1,6
11,2,6,2,22,2,9,2,1,6
11,2,6,2,20,2,9,2,2,6
11,2,6,2,20,2,9,2,2,6
11,2,6,2,21,1,9,1,2,6
11,2,5,2,19,2,9,1,2,5
11,2,6,2,20,2,9,2,1,6
11,2,6,2,19,2,7,2,2,6
11,2,6,2,19,2,9,1,1,6
11,2,6,2,22,2,5,1,2,6
11,2,6,2,23,2,9,2,1,6
11,2,6,2,21,1,9,2,1,6
11,2,6,2,21,2,9,1,2,6
11,2,6,2,18,1,4,1,2,6
11,2,6,2,20,2,9,2,2,6
11,2,6,2,24,1,9,2,1,6
11,2,6,2,21,2,8,2,1,6
11,2,6,2,23,1,4,1,2,6
11,2,6,2,23,1,7,1,2,6
11,2,6,2,19,2,9,1,2,6
11,2,6,2,24,2,3,2,2,6
11,2,6,2,39,2,9,2,1,6
11,2,6,2,27,1,5,2,2,6
11,2,6,2,19,1,9,1,2,6
11,2,6,2,19,2,9,1,2,6
11,2,6,2,38,2,7,1,2,6
11,2,6,2,20,2,9,2,1,6
11,2,6,2,20,2,9,2,1,6
11,2,6,2,19,1,8,2,1,6
11,2,6,2,28,2,9,1,1,6
11,2,6,2,19,1,7,1,1,6
11,2,6,2,24,1,9,2,1,6
11,2,6,2,29,2,9,2,1,6
11,2,6,2,21,2,9,2,1,6
11,2,6,2,22,1,6,2,2,6
11,2,6,2,26,1,6,1,2,6
11,2,6,2,38,1,1,2,1,6
11,2,6,2,20,2,9,1,2,6
11,2,6,2,26,2,9,1,2,6
11,2,6,2,20,2,9,2,1,6
11,2,6,2,21,2,9,1,1,6
11,2,6,2,21,2,9,1,2,6
11,2,6,2,23,2,7,2,1,6
11,2,6,2,20,1,9,1,2,6
11,2,6,2,22,1,3,1,1,6
11,2,6,2,21,1,8,1,1,6
11,2,6,2,21,1,3,1,2,6
11,2,6,2,18,1,9,2,1,6
11,2,6,2,29,2,9,2,2,6
11,2,6,2,20,1,9,2,2,6
11,2,6,2,20,1,7,1,2,6
11,2,6,2,20,1,9,1,2,6
11,2,6,2,21,2,9,1,2,6
11,2,6,2,22,1,9,1,2,6
11,2,6,2,23,2,9,2,1,6
11,2,6,2,22,2,8,1,1,6
11,2,6,2,18,2,9,1,,6
11,2,6,2,24,2,9,2,2,6
11,2,6,2,22,2,9,1,2,6
11,2,6,2,20,1,9,2,1,6
11,2,6,2,19,2,8,2,1,6
11,2,6,2,20,2,6,2,1,6
11,2,6,2,20,1,7,1,2,6
11,2,6,2,29,2,9,2,1,6
11,2,6,2,21,1,9,1,2,6
11,2,6,2,22,2,8,2,2,6
11,2,6,2,22,1,9,2,2,6
11,2,6,2,30,2,9,2,1,6
11,2,6,2,21,1,7,2,2,6
11,2,6,2,26,2,9,1,1,6
11,2,6,2,21,1,7,1,1,6
11,2,6,2,19,2,9,1,1,6
11,2,6,2,26,1,9,2,1,6
11,2,6,2,18,2,9,1,1,6
11,2,6,2,21,2,9,2,2,6
11,2,6,2,20,2,9,2,2,6
11,2,6,2,26,1,9,2,2,6
11,2,6,2,23,2,7,1,2,6
11,2,6,2,20,2,9,2,2,6
11,2,6,2,45,2,9,2,1,6
11,2,6,2,22,1,8,1,2,6
11,2,6,2,18,1,8,2,1,6
11,2,6,2,21,2,7,2,2,6
11,2,6,2,20,1,8,1,2,6
11,2,6,2,20,1,7,2,2,6
11,2,6,2,28,1,5,1,2,6
11,2,6,2,22,2,9,2,1,6
11,2,6,2,35,2,8,2,1,6
11,2,6,2,19,1,9,1,2,6
11,2,6,2,19,2,9,1,1,6
11,2,6,2,24,1,3,1,2,6
11,2,6,2,20,1,5,2,2,6
11,2,6,2,23,2,9,1,2,6
11,2,6,2,36,2,9,2,2,6
11,2,6,2,18,2,6,1,2,6
11,2,6,2,20,2,9,2,1,6
11,2,6,2,18,1,9,1,1,6
11,2,6,2,21,2,9,1,1,6
11,2,6,2,20,2,9,1,2,6
11,2,6,2,20,2,7,2,1,6
11,2,6,2,20,1,9,1,2,6
11,2,6,2,26,2,7,1,2,6
11,2,6,2,20,1,9,1,1,6
11,2,6,2,18,2,9,2,1,6
11,2,6,2,30,2,8,1,2,6
11,2,6,2,21,2,7,2,1,6
11,2,6,2,21,2,7,2,1,6
11,2,6,,29,2,9,2,1,6
11,2,6,2,25,2,9,1,2,6
11,2,6,2,19,2,9,1,2,6
11,2,6,2,19,2,9,2,1,6
11,2,6,2,23,2,8,1,2,6
11,2,6,2,20,2,9,1,1,6
11,2,6,2,19,1,9,2,1,6
11,2,6,2,18,2,9,2,2,6
11,2,6,2,20,1,4,2,2,6
11,2,6,2,27,1,7,2,2,6
11,2,6,2,28,1,9,2,2,6
11,2,6,2,32,2,9,2,1,6
11,2,6,2,24,1,7,2,1,6
11,2,6,2,21,1,7,2,1,6
11,2,6,2,25,2,9,2,1,6
11,2,6,2,22,1,8,2,1,6
11,2,6,1,22,2,,2,1,6
11,2,6,2,20,2,1,1,1,6
11,2,6,2,23,1,4,2,2,6
11,2,6,2,25,2,9,2,2,6
11,2,6,2,23,2,9,2,2,6
11,2,6,2,22,1,9,2,1,6
11,2,6,2,20,1,9,1,1,6
11,2,6,2,21,2,9,2,2,6
11,2,6,2,62,2,1,2,1,6
11,2,6,2,21,1,9,1,2,6
11,2,6,2,24,1,7,2,1,6
11,2,6,2,19,1,8,2,2,6
11,2,6,2,26,2,9,1,1,6
11,2,6,2,21,2,9,1,1,6
11,2,6,2,22,2,9,1,1,6
11,2,6,2,23,2,9,1,1,6
11,2,6,2,24,1,9,1,2,6
11,2,6,2,29,2,9,1,1,6
11,2,6,2,23,2,9,1,2,6
11,2,6,2,19,1,9,2,2,6
11,2,6,2,18,1,9,1,2,6
11,2,6,2,18,2,1,2,2,6
11,2,6,2,21,2,9,1,2,6
11,2,6,2,22,2,9,1,2,6
11,2,6,2,19,1,8,2,1,6
11,2,6,2,23,1,9,2,2,6
11,2,6,2,25,2,9,1,,6
11,2,6,2,18,2,7,1,2,6
11,2,6,3,30,1,9,2,2,6
11,2,6,2,18,1,7,2,1,6
11,2,6,2,21,2,9,2,1,6
11,2,6,2,21,1,9,1,1,6
11,2,6,2,21,2,7,1,2,6
11,2,6,2,32,2,9,1,2,6
11,2,6,2,23,1,5,2,1,6
11,2,6,2,25,1,9,2,2,6
11,2,6,2,39,2,9,1,2,6
11,2,6,2,22,2,7,1,2,6
11,2,5,2,27,2,9,1,2,5
11,2,6,2,24,1,9,1,2,6
11,2,6,2,22,1,4,1,2,6
11,2,6,2,39,2,9,2,2,6
11,2,6,2,22,2,9,2,2,6
11,2,6,2,25,2,7,1,1,6
11,2,6,2,22,2,9,1,2,6
12,2,6,1,18,1,9,2,2,6
12,2,6,1,18,2,7,1,2,6
12,2,6,1,20,1,9,2,2,6
12,2,6,1,18,1,7,2,2,6
12,2,7,1,18,1,2,2,,7
12,2,7,1,18,2,8,2,1,7
12,2,7,1,19,2,6,2,1,7
12,2,7,1,22,2,9,1,2,7
12,2,7,1,19,1,9,2,2,7
12,1,6,1,18,1,6,2,1,6
12,1,6,1,19,2,9,2,2,6
12,1,6,1,18,2,9,1,2,6
12,1,6,1,18,2,9,2,2,6
12,2,6,1,19,1,5,1,2,6
12,2,6,1,18,1,8,1,2,6
12,2,6,1,19,2,8,2,1,6
12,2,6,1,18,2,9,2,1,6
12,2,6,1,20,1,6,2,1,6
12,2,6,1,18,1,7,1,1,6
12,2,6,1,20,1,9,1,2,6
12,2,6,1,18,1,9,2,2,6
12,2,6,1,21,2,6,1,2,6
12,2,6,1,19,2,9,1,2,6
12,2,6,1,18,1,9,1,2,6
12,2,6,1,18,1,6,2,1,6
12,,,1,19,2,9,2,1,
12,,,1,18,1,9,1,1,
12,2,9,1,20,2,9,2,1,9
12,2,6,1,18,2,9,1,1,6
12,2,6,1,18,2,9,2,1,6
12,2,6,1,18,2,9,2,1,6
12,2,6,1,18,1,9,2,1,6
12,2,6,1,18,2,7,1,1,6
12,2,9,1,18,1,9,2,1,9
12,2,7,1,18,1,7,1,2,7
12,2,6,1,18,2,9,2,1,6
12,1,6,1,19,1,9,1,2,6
12,,,1,18,1,9,2,2,
12,2,6,1,21,2,9,1,1,6
12,2,9,1,19,2,9,2,1,9
12,2,6,1,18,1,1,1,2,6
12,2,6,1,18,1,1,2,2,6
12,2,6,1,18,1,9,2,1,6
12,2,6,1,20,2,7,1,1,6
12,2,6,1,18,2,8,1,2,6
12,2,6,1,20,1,9,2,2,6
12,2,6,1,21,2,9,1,1,6
12,2,6,1,17,2,9,2,2,6
12,2,6,1,18,1,9,2,1,6
12,2,6,1,18,2,9,2,1,6
12,2,6,1,18,1,9,1,1,6
12,2,6,1,19,1,9,1,2,6
12,2,6,1,18,2,9,2,1,6
12,1,6,1,18,2,9,2,1,6
12,1,6,1,19,2,9,2,1,6
12,1,6,1,18,2,9,2,1,6
12,1,6,1,18,1,7,2,1,6
12,1,6,1,18,1,8,2,1,6
12,,,1,19,2,9,2,1,
12,,,1,19,1,9,2,2,
12,,,1,21,1,9,1,2,
12,,,1,19,2,9,2,1,
12,2,6,1,18,1,9,2,2,6
12,2,6,1,18,2,9,1,2,6
12,2,6,1,21,2,9,1,2,6
12,2,6,1,18,2,9,2,2,6
12,2,6,1,18,1,9,2,1,6
12,2,6,1,18,1,9,1,,6
12,,,1,19,1,5,2,2,
12,2,9,1,18,2,9,2,1,9
12,2,9,1,18,1,9,1,2,9
12,2,9,1,19,1,9,1,2,9
12,2,9,1,19,1,8,2,1,9
12,2,9,1,19,2,9,1,2,9
12,2,9,1,18,2,6,1,1,9
12,1,6,1,18,1,9,1,2,6
12,1,6,1,19,1,6,2,1,6
12,2,6,1,18,1,8,1,1,6
12,2,6,1,18,1,9,2,1,6
12,2,9,1,18,2,9,1,2,9
12,2,9,1,19,1,7,2,2,9
12,2,9,1,18,1,9,2,2,9
12,2,9,1,18,2,1,2,1,9
12,2,9,1,18,2,7,2,2,9
12,2,9,1,19,2,9,2,1,9
12,1,6,1,18,2,9,2,1,6
12,2,6,1,20,2,9,2,1,6
12,1,6,1,18,2,9,1,2,6
12,2,6,1,18,1,7,2,1,6
12,2,6,1,47,2,7,1,1,6
12,1,6,1,20,1,8,1,1,6
12,1,6,1,18,2,9,2,1,6
12,1,6,1,18,2,9,1,2,6
12,,,1,19,2,7,1,1,
12,,,1,21,2,9,1,2,
12,,,1,18,2,9,2,1,
12,,,1,20,1,9,1,2,
12,,,1,19,2,9,1,2,
12,,,1,18,2,7,2,2,
12,,,1,19,1,7,2,1,
12,,,1,18,2,7,1,2,
12,,,1,18,2,9,2,2,
12,2,9,1,19,1,9,2,2,9
12,2,9,1,19,1,8,2,1,9
12,1,6,1,18,2,9,1,2,6
12,1,6,1,18,1,9,1,2,6
12,1,6,1,18,2,9,1,2,6
12,1,6,1,18,2,8,1,2,6
12,1,6,1,18,2,9,1,1,6
12,1,6,1,18,1,9,1,1,6
12,1,6,1,18,1,9,1,2,6
12,1,6,1,18,1,8,2,2,6
12,1,6,1,18,1,8,2,2,6
12,2,9,1,18,1,7,1,2,9
12,2,9,1,18,2,7,1,1,9
12,2,9,1,18,2,8,2,1,9
12,2,9,1,18,1,7,1,2,9
12,2,9,1,18,1,9,1,2,9
12,1,6,1,20,2,9,2,1,6
12,1,6,1,18,2,1,2,1,6
12,1,6,1,19,1,7,2,2,6
12,1,6,1,18,1,8,2,2,6
12,1,6,1,19,1,9,1,2,6
12,1,6,1,19,1,5,2,2,6
12,1,6,1,18,1,6,2,1,6
